,text,location,entities
0,"@BokBarbar @ZemmourEric Avis aux #RN Nous sommes fatigués par votre argument bidon de vote utile.
si vous êtes si s… https://t.co/89kmbVwJMH",,"{'hashtags': [{'text': 'RN', 'indices': [33, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BokBarbar', 'name': 'Barbar Buk Ⓜ️🇷🇺', 'id': 1234065245687238657, 'id_str': '1234065245687238657', 'indices': [0, 10]}, {'screen_name': 'ZemmourEric', 'name': 'Eric Zemmour', 'id': 1183418538285027329, 'id_str': '1183418538285027329', 'indices': [11, 23]}], 'urls': [{'url': 'https://t.co/89kmbVwJMH', 'expanded_url': 'https://twitter.com/i/web/status/1507410336650989568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,@avecvous Ouhai #Macron sait être direct. Avec #McKinsey il a fait pareil mais là pas à la même échelle.,,"{'hashtags': [{'text': 'Macron', 'indices': [16, 23]}, {'text': 'McKinsey', 'indices': [47, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'avecvous', 'name': 'Emmanuel Macron avec vous', 'id': 1463777982246445057, 'id_str': '1463777982246445057', 'indices': [0, 9]}], 'urls': []}"
2,🔴Réchauffement climatique : Éric Zemmour promet d’interdire la vente des thermomètres https://t.co/x2Ex8mjt0I,Besançon,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1507410286717849606, 'id_str': '1507410286717849606', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/FOtlq06WUAYzedP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FOtlq06WUAYzedP.jpg', 'url': 'https://t.co/x2Ex8mjt0I', 'display_url': 'pic.twitter.com/x2Ex8mjt0I', 'expanded_url': 'https://twitter.com/EchodelaBoucle/status/1507410333031604224/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2000, 'h': 1357, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 814, 'resize': 'fit'}, 'small': {'w': 680, 'h': 461, 'resize': 'fit'}}}]}"
3,"Moins de 2000 personnes dans une salle qui a une capacité de 30.000.
L’énorme succès des meetings, avec tout le gra… https://t.co/M2u1QL1ITx",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/M2u1QL1ITx', 'expanded_url': 'https://twitter.com/i/web/status/1507410330577686528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,@jeanmars12 @LucinLeSceptik @Alkaraison @Fabien_Roussel oui. autre chose ?,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jeanmars12', 'name': 'jean mars', 'id': 1372883576056844289, 'id_str': '1372883576056844289', 'indices': [0, 11]}, {'screen_name': 'LucinLeSceptik', 'name': 'Je ramène les glaçons', 'id': 499950227, 'id_str': '499950227', 'indices': [12, 27]}, {'screen_name': 'Alkaraison', 'name': 'Alk en à marre💙💛', 'id': 1400054401331601410, 'id_str': '1400054401331601410', 'indices': [28, 39]}, {'screen_name': 'Fabien_Roussel', 'name': 'Fabien Roussel', 'id': 1324449588, 'id_str': '1324449588', 'indices': [40, 55]}], 'urls': []}"
5,@election_2022 Si on peut pas avoir Z il faut au moins virer Macron et éviter Mélenchon 🤷🏻‍♂️,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'election_2022', 'name': 'Sondages 2022 📈', 'id': 1376141945353953281, 'id_str': '1376141945353953281', 'indices': [0, 14]}], 'urls': []}"
6,"François de Rugy, ancien ministre de la Transition écologique et président de l'Assemblée nationale, a annoncé son… https://t.co/4nZgaMsqXY",Dijon - France,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4nZgaMsqXY', 'expanded_url': 'https://twitter.com/i/web/status/1507410324189814787', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
7,@Fabien_Roussel Je trouve ça Gentil et Respectueux 🙏🏻,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fabien_Roussel', 'name': 'Fabien Roussel', 'id': 1324449588, 'id_str': '1324449588', 'indices': [0, 15]}], 'urls': []}"
8,@vicHNTR @DuboisCarlos1 @YazooYazooYaz @ZemmourEric Ba voyons c vrai que les racistes ne s'assument plus apparement… https://t.co/4n58THnWEb,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vicHNTR', 'name': 'Victor', 'id': 817141221802016769, 'id_str': '817141221802016769', 'indices': [0, 8]}, {'screen_name': 'DuboisCarlos1', 'name': 'CarlDu', 'id': 1182342239218999298, 'id_str': '1182342239218999298', 'indices': [9, 23]}, {'screen_name': 'YazooYazooYaz', 'name': 'Ivrevirgule', 'id': 832247886322745347, 'id_str': '832247886322745347', 'indices': [24, 38]}, {'screen_name': 'ZemmourEric', 'name': 'Eric Zemmour', 'id': 1183418538285027329, 'id_str': '1183418538285027329', 'indices': [39, 51]}], 'urls': [{'url': 'https://t.co/4n58THnWEb', 'expanded_url': 'https://twitter.com/i/web/status/1507410318225334275', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,@tcabarrus Je pense que #Roussel est sous-estimé en revanche je ne crois pas au grignotage de #LePen,france,"{'hashtags': [{'text': 'Roussel', 'indices': [24, 32]}, {'text': 'LePen', 'indices': [94, 100]}], 'symbols': [], 'user_mentions': [{'screen_name': 'tcabarrus', 'name': 'Thierry de Cabarrus', 'id': 338955445, 'id_str': '338955445', 'indices': [0, 10]}], 'urls': []}"
