,text,location,entities
0,@maitrerenard31 @Massmediaxe @Ben_voyons2022 @F_Desouche La mère LePen ne se soucie que d'elle-même. Elle ne se sou… https://t.co/98jtiEbx0b,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maitrerenard31', 'name': 'Maître Renard ⓩ', 'id': 3052735103, 'id_str': '3052735103', 'indices': [0, 15]}, {'screen_name': 'Massmediaxe', 'name': 'Massmediaxe ZMMXXII', 'id': 556300938, 'id_str': '556300938', 'indices': [16, 28]}, {'screen_name': 'Ben_voyons2022', 'name': 'Robot Z-5610 ⓩ 🇫🇷', 'id': 1469438263966547973, 'id_str': '1469438263966547973', 'indices': [29, 44]}, {'screen_name': 'F_Desouche', 'name': 'Fdesouche.com est une revue de presse', 'id': 92849144, 'id_str': '92849144', 'indices': [45, 56]}], 'urls': [{'url': 'https://t.co/98jtiEbx0b', 'expanded_url': 'https://twitter.com/i/web/status/1519011076632977411', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,@covoitasterix @Romanocho69 @christine_kelly B1 vu qu'il y a pour Macron qu un sentiment d'insécurité il se bouge p… https://t.co/ZFpylcQ6IC,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'covoitasterix', 'name': 'Free Ukraine 🇨🇵🇩🇪🇪🇺🇺🇦🇲🇨🇹🇩', 'id': 835021094247677953, 'id_str': '835021094247677953', 'indices': [0, 14]}, {'screen_name': 'Romanocho69', 'name': 'Romano cho', 'id': 1454464519619629056, 'id_str': '1454464519619629056', 'indices': [15, 27]}, {'screen_name': 'christine_kelly', 'name': 'Christine KELLY', 'id': 1072300501, 'id_str': '1072300501', 'indices': [28, 44]}], 'urls': [{'url': 'https://t.co/ZFpylcQ6IC', 'expanded_url': 'https://twitter.com/i/web/status/1519011074380640257', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2,Mam' Macron c'est juste la meuf à l'aut'là. #BrigitteMacron https://t.co/cXZxnVQWgW,FRANCE,"{'hashtags': [{'text': 'BrigitteMacron', 'indices': [44, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cXZxnVQWgW', 'expanded_url': 'https://twitter.com/Linda275722651/status/1518971957764628480', 'display_url': 'twitter.com/Linda275722651…', 'indices': [60, 83]}]}"
3,"@lesRepublicains LR s'est parjuré en demandant de voter Macron. Une Droite indépendante et populaire, comme vous di… https://t.co/S9BFms2LMV",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lesRepublicains', 'name': 'les Républicains #PourVousDéfendre', 'id': 95455794, 'id_str': '95455794', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/S9BFms2LMV', 'expanded_url': 'https://twitter.com/i/web/status/1519011067002765312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,@yjadot Macron te propose un poste tu iras encore plus vite que l immonde Manuel Valls.,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yjadot', 'name': 'Yannick Jadot', 'id': 117761523, 'id_str': '117761523', 'indices': [0, 7]}], 'urls': []}"
5,@AQuatennens @BFMGrandLille @lavoixdunord @melenchon_2022 @VDNLille @InsoumisJeunes @JLMelenchon @Melenchon_Lille… https://t.co/meFLRrxGnd,sud est ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AQuatennens', 'name': 'Adrien Quatennens', 'id': 3023497329, 'id_str': '3023497329', 'indices': [0, 12]}, {'screen_name': 'BFMGrandLille', 'name': 'BFM Grand Lille', 'id': 86909567, 'id_str': '86909567', 'indices': [13, 27]}, {'screen_name': 'lavoixdunord', 'name': 'La Voix du Nord', 'id': 17364400, 'id_str': '17364400', 'indices': [28, 41]}, {'screen_name': 'melenchon_2022', 'name': 'Mélenchon 2022 🐢', 'id': 1324766177919381505, 'id_str': '1324766177919381505', 'indices': [42, 57]}, {'screen_name': 'VDNLille', 'name': 'VDN Lille', 'id': 1415740381, 'id_str': '1415740381', 'indices': [58, 67]}, {'screen_name': 'InsoumisJeunes', 'name': 'Les Jeunes Insoumis·es', 'id': 789067312552960000, 'id_str': '789067312552960000', 'indices': [68, 83]}, {'screen_name': 'JLMelenchon', 'name': 'Jean-Luc Mélenchon', 'id': 80820758, 'id_str': '80820758', 'indices': [84, 96]}, {'screen_name': 'Melenchon_Lille', 'name': 'Mélenchon 2022 - Union Populaire Lille', 'id': 1330157792553000961, 'id_str': '1330157792553000961', 'indices': [97, 113]}], 'urls': [{'url': 'https://t.co/meFLRrxGnd', 'expanded_url': 'https://twitter.com/i/web/status/1519011063185952771', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}"
6,@anthonysarti2b Ce ne serait pas les électeurs de Macron ?,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anthonysarti2b', 'name': '-VENOM-', 'id': 1062994075064954880, 'id_str': '1062994075064954880', 'indices': [0, 15]}], 'urls': []}"
7,@sma3il_fcb Zemmour c ton rouy,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sma3il_fcb', 'name': 'اسماعيل KC', 'id': 2246271964, 'id_str': '2246271964', 'indices': [0, 11]}], 'urls': []}"
8,On ne peut pas mettre dans un même sac les attaques de Zemmour et celles de MLP. L'un n'est coupable que de dire de… https://t.co/6inw9QkzVM,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6inw9QkzVM', 'expanded_url': 'https://twitter.com/i/web/status/1519011056236077056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,Qui a été limogé à la hâte… des macronistes qui invoquent le risque de cobelligérance quand même les allemands livr… https://t.co/7fsvCVPyXq,"Guadalajara de Buga, Colombia","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7fsvCVPyXq', 'expanded_url': 'https://twitter.com/i/web/status/1519011043946676225', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
